Generated by http://statistics.gov.scot,2020-12-07T13:29:45+00:00
http://statistics.gov.scot/data/age-at-first-birth,Age of First Time Mothers
Reference Period,2013/14-2015/16
Age,19 years and under
Measure (cell values): ,"Count(First Time Mothers), Ratio(Percent Of First Time Mothers)"

,,http://statistics.gov.scot/def/measure-properties/count,http://statistics.gov.scot/def/measure-properties/ratio
http://statistics.gov.scot/id/statistical-geography/S13002676,Inverness Central,29,14.22
http://statistics.gov.scot/id/statistical-geography/S13002678,Inverness Millburn,11,8.8
http://statistics.gov.scot/id/statistical-geography/S13002677,Inverness Ness-Side,11,6.11
http://statistics.gov.scot/id/statistical-geography/S13002681,Inverness South,15,5.1
http://statistics.gov.scot/id/statistical-geography/S13002675,Inverness West,8,5.76
http://statistics.gov.scot/id/statistical-geography/S13002499,Inverurie and District,15,6.17
http://statistics.gov.scot/id/statistical-geography/S13002705,Irvine East,38,16.24
http://statistics.gov.scot/id/statistical-geography/S13002558,Irvine Valley,21,12.57
http://statistics.gov.scot/id/statistical-geography/S13002704,Irvine West,32,12.12
http://statistics.gov.scot/id/statistical-geography/S13002523,Isle of Bute,1,1.82
http://statistics.gov.scot/id/statistical-geography/S13002769,Jedburgh and District,6,5.71
http://statistics.gov.scot/id/statistical-geography/S13002757,"Johnstone North, Kilbarchan & Lochwinnoch",17,9.44
http://statistics.gov.scot/id/statistical-geography/S13002756,"Johnstone South, Elderslie & Howwood",15,7.77
http://statistics.gov.scot/id/statistical-geography/S13002697,Keith and Cullen,18,16.82
http://statistics.gov.scot/id/statistical-geography/S13002768,Kelso and District,4,3.7
http://statistics.gov.scot/id/statistical-geography/S13002710,Kilbirnie and Beith,22,13.02
http://statistics.gov.scot/id/statistical-geography/S13002556,Kilmarnock East and Hurlford,29,14.15
http://statistics.gov.scot/id/statistical-geography/S13002554,Kilmarnock North,12,6.78
http://statistics.gov.scot/id/statistical-geography/S13002557,Kilmarnock South,21,12.28
http://statistics.gov.scot/id/statistical-geography/S13002555,Kilmarnock West and Crosshouse,20,8.66
http://statistics.gov.scot/id/statistical-geography/S13002817,Kilpatrick,21,13.46
http://statistics.gov.scot/id/statistical-geography/S13002712,Kilsyth,15,9.8
http://statistics.gov.scot/id/statistical-geography/S13002706,Kilwinning,28,11.38
http://statistics.gov.scot/id/statistical-geography/S13002488,Kincorth / Nigg / Cove,18,5.79
http://statistics.gov.scot/id/statistical-geography/S13002478,Kingswells / Sheddocksley / Summerhill,23,9.43
http://statistics.gov.scot/id/statistical-geography/S13002745,Kinross-shire,4,3.2
http://statistics.gov.scot/id/statistical-geography/S13002517,Kintyre and the Islands,3,3.9
http://statistics.gov.scot/id/statistical-geography/S13002629,Kirkcaldy Central,37,14.34
http://statistics.gov.scot/id/statistical-geography/S13002630,Kirkcaldy East,41,16.4
