feature_code,year,measurement,units,value,scottish_health_survey_indicator,sex,council_name,long,lat
S92000003,2018,Percent,Percent Of Adults,17,General health questionnaire (GHQ-12): Score 4+,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,25,Smoking status: Used to smoke regularly,Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,65,Alcohol consumption: Moderate drinker,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,80,E-cigarette use: Never used,Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,16,Any cardiovascular condition: Has a cardiovascular condition,Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,82,E-cigarette use: Never used,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,65,Alcohol consumption: Moderate drinker,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,81,E-cigarette use: Never used,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,15,Any cardiovascular condition: Has a cardiovascular condition,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,83,E-cigarette use: Never used,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,72,Self-assessed general health: Very good/Good,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,16,Any cardiovascular condition: Has a cardiovascular condition,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,83,E-cigarette use: Never used,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,15,General health questionnaire (GHQ-12): Score 4+,Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,19,Fruit & vegetable consumption: 5 portions or more,Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,18,General health questionnaire (GHQ-12): Score 4+,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,16,Any cardiovascular condition: Has a cardiovascular condition,All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,23,Fruit & vegetable consumption: 5 portions or more,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,15,Any cardiovascular condition: Has a cardiovascular condition,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,65,Summary activity levels: Meets recommendations,All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,68,Fruit & vegetable consumption: Less than 5 portions,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,68,Fruit & vegetable consumption: Less than 5 portions,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,68,Fruit & vegetable consumption: Less than 5 portions,All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,24,Smoking status: Used to smoke regularly,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,68,Fruit & vegetable consumption: Less than 5 portions,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,68,Fruit & vegetable consumption: Less than 5 portions,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,31,Life satisfaction: Mode (8),Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,31,Life satisfaction: Mode (8),All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,68,Fruit & vegetable consumption: Less than 5 portions,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,31,Life satisfaction: Mode (8),Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,15,General health questionnaire (GHQ-12): Score 4+,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,17,General health questionnaire (GHQ-12): Score 4+,All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,23,Smoking status: Used to smoke regularly,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,23,Smoking status: Used to smoke regularly,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,60,Summary activity levels: Meets recommendations,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,60,Summary activity levels: Meets recommendations,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,69,Summary activity levels: Meets recommendations,Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,25,Smoking status: Used to smoke regularly,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,70,Summary activity levels: Meets recommendations,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,24,Smoking status: Used to smoke regularly,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,59,Alcohol consumption: Moderate drinker,All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,64,Summary activity levels: Meets recommendations,All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,11,Fruit & vegetable consumption: None,All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,53,Smoking status: Never smoked/Used to smoke occasionally,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,58,Smoking status: Never smoked/Used to smoke occasionally,All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,23,Summary activity levels: Very low activity,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,9,Self-assessed general health: Bad/Very bad,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,8,Self-assessed general health: Bad/Very bad,All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,18,Summary activity levels: Very low activity,Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,73,Self-assessed general health: Very good/Good,All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,56,Smoking status: Never smoked/Used to smoke occasionally,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,12,Fruit & vegetable consumption: None,Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,21,Summary activity levels: Very low activity,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,60,Smoking status: Never smoked/Used to smoke occasionally,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,20,Smoking status: Current smoker,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,8,Self-assessed general health: Bad/Very bad,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,9,Self-assessed general health: Bad/Very bad,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,5,Summary activity levels: Low activity,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,8,Self-assessed general health: Bad/Very bad,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,10,Fruit & vegetable consumption: None,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,23,Summary activity levels: Very low activity,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,59,Smoking status: Never smoked/Used to smoke occasionally,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,17,Smoking status: Current smoker,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,19,Self-assessed general health: Fair,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,9,Self-assessed general health: Bad/Very bad,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,19,Self-assessed general health: Fair,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,20,Fruit & vegetable consumption: 5 portions or more,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,12,"Provide any regular help or care for any sick, disabled or frail person: Yes",Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,13,E-cigarette use: Ever previously used,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,15,"Provide any regular help or care for any sick, disabled or frail person: Yes",All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,24,Fruit & vegetable consumption: 5 portions or more,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,13,E-cigarette use: Ever previously used,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,12,E-cigarette use: Ever previously used,All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,73,Self-assessed general health: Very good/Good,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,17,"Provide any regular help or care for any sick, disabled or frail person: Yes",Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,10,E-cigarette use: Ever previously used,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,71,Self-assessed general health: Very good/Good,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,18,Summary activity levels: Very low activity,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,9,Fruit & vegetable consumption: None,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,21,Summary activity levels: Very low activity,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,72,Self-assessed general health: Very good/Good,All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,13,Fruit & vegetable consumption: None,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,22,Fruit & vegetable consumption: 5 portions or more,All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,21,Fruit & vegetable consumption: 5 portions or more,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,11,E-cigarette use: Ever previously used,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,11,E-cigarette use: Ever previously used,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,55,Smoking status: Never smoked/Used to smoke occasionally,Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,9,Fruit & vegetable consumption: None,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,73,Self-assessed general health: Very good/Good,Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,32,Overweight: Not overweight or obese,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,35,Overweight: Not overweight or obese,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,35,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,32,Overweight: Not overweight or obese,Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,14,Long-term illness: Non-limiting long-term illness,All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,38,Overweight: Not overweight or obese,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,24,General health questionnaire (GHQ-12): Score 1-3,Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,12,Summary activity levels: Some activity,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,25,General health questionnaire (GHQ-12): Score 1-3,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,61,General health questionnaire (GHQ-12): Score 0,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,56,General health questionnaire (GHQ-12): Score 0,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,56,General health questionnaire (GHQ-12): Score 0,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,26,General health questionnaire (GHQ-12): Score 1-3,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,14,Long-term illness: Non-limiting long-term illness,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,11,Summary activity levels: Some activity,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,37,Overweight: Not overweight or obese,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,35,Overweight: Not overweight or obese,All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,9,Summary activity levels: Some activity,Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,14,Long-term illness: Non-limiting long-term illness,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,11,Summary activity levels: Some activity,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,9,Summary activity levels: Some activity,Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,24,General health questionnaire (GHQ-12): Score 1-3,Male,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,26,General health questionnaire (GHQ-12): Score 1-3,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,35,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,59,General health questionnaire (GHQ-12): Score 0,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,12,Summary activity levels: Some activity,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,52,Long-term illness: No long-term illness,Female,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,14,Long-term illness: Non-limiting long-term illness,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,13,Long-term illness: Non-limiting long-term illness,Female,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,54,Long-term illness: No long-term illness,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,13,Long-term illness: Non-limiting long-term illness,All,Scotland Wide,NA,NA
S92000003,2018,Percent,Percent Of Adults,61,General health questionnaire (GHQ-12): Score 0,Male,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,25,General health questionnaire (GHQ-12): Score 1-3,All,Scotland Wide,NA,NA
S92000003,2019,Percent,Percent Of Adults,34,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male,Scotland Wide,NA,NA
S12000006,2018,Percent,Percent Of Adults,10,Self-assessed general health: Bad/Very bad,Female,Dumfries and Galloway,-4.02863,55.09622
S12000006,2019,Percent,Percent Of Adults,26,Self-assessed general health: Fair,Male,Dumfries and Galloway,-4.02863,55.09622
S12000006,2018,Percent,Percent Of Adults,9,Self-assessed general health: Bad/Very bad,All,Dumfries and Galloway,-4.02863,55.09622
S12000006,2018,Percent,Percent Of Adults,10,Fruit & vegetable consumption: None,Male,Dumfries and Galloway,-4.02863,55.09622
S12000006,2019,Percent,Percent Of Adults,9,Self-assessed general health: Bad/Very bad,Female,Dumfries and Galloway,-4.02863,55.09622
S12000006,2019,Percent,Percent Of Adults,20,Summary activity levels: Very low activity,All,Dumfries and Galloway,-4.02863,55.09622
S12000006,2019,Percent,Percent Of Adults,60,Smoking status: Never smoked/Used to smoke occasionally,Female,Dumfries and Galloway,-4.02863,55.09622
S12000006,2019,Percent,Percent Of Adults,68,Obesity: Not obese,Female,Dumfries and Galloway,-4.02863,55.09622
S12000006,2019,Percent,Percent Of Adults,8,Self-assessed general health: Bad/Very bad,All,Dumfries and Galloway,-4.02863,55.09622
S12000006,2019,Percent,Percent Of Adults,57,Long-term illness: No long-term illness,Female,Dumfries and Galloway,-4.02863,55.09622
S12000006,2018,Percent,Percent Of Adults,22,Smoking status: Current smoker,Male,Dumfries and Galloway,-4.02863,55.09622
S12000006,2019,Percent,Percent Of Adults,20,Summary activity levels: Very low activity,Male,Dumfries and Galloway,-4.02863,55.09622
S12000006,2019,Percent,Percent Of Adults,68,Overweight: Overweight (including obese),Female,Dumfries and Galloway,-4.02863,55.09622
S12000006,2018,Percent,Percent Of Adults,22,Self-assessed general health: Fair,All,Dumfries and Galloway,-4.02863,55.09622
S12000006,2018,Percent,Percent Of Adults,23,Summary activity levels: Very low activity,Male,Dumfries and Galloway,-4.02863,55.09622
S12000006,2019,Percent,Percent Of Adults,79,Any cardiovascular condition: No cardiovascular condition,Male,Dumfries and Galloway,-4.02863,55.09622
S12000006,2018,Percent,Percent Of Adults,18,Smoking status: Current smoker,Female,Dumfries and Galloway,-4.02863,55.09622
